Year,Employer_1,Employer_2,Employer_3,Employer_4,Employer_5,Employer_6,Employer_7,Employer_8,Employer_9,Employer_10,Employer_11,Employer_12,Employer_13,Employer_14,Employer_15,Employer_16,Employer_17,Employer_18,Employer_19,Employer_20,Employer_21,Employer_22,Employer_23,Employer_24,Employer_25
2015,"University of Maryland, College Park 110",Deloitte 63,Montgomery County Public Schools 52,Accenture 47,KPMG 43,National Institutes of Health 39,PricewaterhouseCoopers 36,Naval Air Systems Command 35,Ernst & Young 33,Amazon.com 32,Northrop Grumman 27,Capital One 24,ScribeAmerica 24,Booz Allen Hamilton 21,Prince George's County Public Schools 20,CohnReznick 19,Morgan Stanley 19,Goldman Sachs 15,US Food and Drug Administration 15,TEKsystems 14,JHU Applied Physics Laboratory 13,Naval Sea Systems Command 13,Whiting Turner 13,Boeing 12,McGladrey 12
2016,Deloitte 80,"University of Maryland, College Park 75",KPMG 56,PricewaterhouseCoopers 42,Accenture 41,Morgan Stanley 33,National Institutes of Health 30,Booz Allen Hamilton 28,Montgomery County Public Schools 26,Ernst & Young 26,Capital One 26,Amazon 26,NewDay USA 24,Lockheed Martin 22,Johns Hopkins University Applied Physics Laboratory 21,Naval Air Systems Command 20,Johns Hopkins University 20,Grant Thornton LLP 20,ScribeAmerica 19,NASA 16,Whiting Turner 15,Naval Surface Warfare Center 15,CohnReznick 15,U.S. Food and Drug Administration 14,Northrop Grumman 14
2017,"University of Maryland, College Park 72",Deloitte 57,Accenture 49,Montgomery County Public Schools 46,Northrop Grumman 42,National Institutes of Health 41,KPMG 39,Capital One 34,Ernst & Young 33,PricewaterhouseCoopers 33,Booz Allen Hamilton 30,Naval Air Systems Command 28,IBM 25,Amazon 23,Prince George's County Public Schools 23,Grant Thornton 21,Johns Hopkins University Applied Physics Laboratory 21,JPMorgan Chase 20,Morgan Stanley 20,ScribeAmerica 19,Fannie Mae 18,Lockheed Martin 18,NewDay USA 16,Whiting Turner Contracting Company 16,CohnReznick 14
2018,University of Maryland 63,Deloitte 36,KPMG 29,National Institutes of Health 29,Ernst & Young 28,Accenture 22,PwC 22,Montgomery County Public Schools 21,Capital One 18,Grant Thornton 18,Northrop Grumman Corporation 18,ScribeAmerica 17,"Amazon.com, Inc. 15",Fannie Mae 15,Leidos 14,IBM 13,Whiting Turner Contracting Company 13,JPMorgan Chase & Co 12,"2U, Inc. 11",CohnReznick 11,Prince George's County Public Schools 11,Deloitte Consulting LLP 10,Naval Air Systems Command 10,Goldman Sachs 9,Booz Allen Hamilton 8
2019,University of Maryland 125,Deloitte 80,Northrop Grumman Corporation 64,EY 57,Capital One 55,"Amazon.com, Inc. 53",KPMG LLP 51,Montgomery County Public Schools 43,Accenture 41,Naval Air Systems Command (NAVAIR) 37,Scribe America 33,"Google, Inc. 31",Johns Hopkins University Applied Physics Laboratory 29,Lockheed Martin Corporation 29,Whiting Turner Contracting Company 27,IBM 27,PwC 25,National Institutes of Health (NIH) 25,Microsoft Corporation 23,Booz Allen Hamilton 21,Morgan Stanley 21,Grant Thornton LLP 19,Leidos 19,Fannie Mae 18,Flywheel Digital 13
2020,University of Maryland 111,"Amazon.com, Inc. 80",Northrop Grumman Corporation 79,Deloitte 60,Capital One 60,Accenture 44,Naval Air Systems Command (NAVAIR) 41,KPMG 40,Montgomery County Public Schools 37,Fannie Mae 36,National Institutes of Health (NIH) 33,NewDay USA 30,Microsoft Corporation 29,Whiting Turner Contracting Company 28,Lockheed Martin Corporation 28,PwC 25,Booz Allen Hamilton Inc. 24,U.S. Department of Agriculture (USDA) 20,EY 20,IBM 19,NASA 18,Freddie Mac 17,U.S. Department of Defense 16,Morgan Stanley 16,Johns Hopkins University Applied Physics Laboratory (JHUAPL) 16
2021,Northrop Grumman Corporation 50,Montgomery County Public Schools (MCPS) 44,Deloitte 43,Amazon 42,EY 38,University of Maryland 37,Naval Air Systems Command (NAVAIR) 35,KPMG 33,Capital One 33,Accenture 30,Whiting Turner Contracting Company 26,Morgan Stanley 26,National Institutes of Health (NIH) 25,Johns Hopkins University Applied Physics Lab (JHUAPL) 25,PwC 24,Microsoft Corporation 22,Lockheed Martin 21,Fannie Mae 21,"PepsiCo, Inc. 16",JPMorgan Chase & Co. 15,Epic Systems 15,Deloitte Consulting 14,T. Rowe Price 13,Leidos 13,"Stanley Black & Decker, Inc. 12"
2022,Northrop Grumman 80,Deloitte 75,Capital One 67,Amazon 61,"University of Maryland, College Park 60",EY 55,Accenture 44,KPMG 37,Morgan Stanley 33,Google 33,National Institutes of Health (NIH) 32,Lockheed Martin 30,Amazon Web Services (AWS) 29,Microsoft 26,The Johns Hopkins University Applied Physics Lab (JHUAPL) 25,Montgomery County Public Schools (MCPS) 25,"Meta Platforms, Inc. 22",Fannie Mae 22,Booz Allen Hamilton 22,PwC 21,"Clark Construction Group, LLC 20",Naval Air Systems Command (NAVAIR) 19,JPMorgan Chase & Co. 19,Bank of America 17,"Goldman Sachs Group, Inc. 16"
2023,"University of Maryland, College Park 98",Northrop Grumman 87,Deloitte 64,Capital One 60,Montgomery County Public Schools (MCPS) 52,Ernst & Young (EY) 43,KPMG 38,Accenture 35,Morgan Stanley 34,Amazon 32,Lockheed Martin 31,J.P. Morgan Chase & Co. 29,PwC 27,U.S. Naval Air Systems Command (NAVAIR) 26,National Institutes of Health (NIH) 25,"Whiting Turner Contracting Company, The 24",Johns Hopkins University Applied Physics Lab (JHUAPL) 21,Freddie Mac 18,Bloomberg 18,Epic Systems 16,Booz Allen Hamilton 16,U.S. Naval Sea Systems Command (NAVSEA) 14,L3Harris Technologies 14,Microsoft 14,Fannie Mae 14
2024,"University of Maryland, College Park 91",Northrop Grumman 55,Capital One 47,Montgomery County Public Schools 43,EY 40,Deloitte LLP 38,"Amazon.com, Inc. 26",Accenture Federal Services 26,Amazon Web Services (AWS) 26,Morgan Stanley 25,KPMG LLP 23,Whiting Turner Contracting Company 21,National Institutes of Health (NIH) 21,Johns Hopkins University Applied Physics Laboratory (JHUAPL) 20,PricewaterhouseCoopers LLP 19,J.P. Morgan Chase & Co. 19,Freddie Mac 16,"Booz Allen Hamilton, Inc. 16",GEICO 15,"T. Rowe Price Group, Inc. 14",Microsoft Corporation 14,,,,
