Year,School_1,School_2,School_3,School_4,School_5,School_6,School_7,School_8,School_9,School_10,School_11,School_12,School_13,School_14,School_15,School_16,School_17,School_18,School_19,School_20,School_21,School_22,School_23,School_24,School_25
2015,"University of Maryland, College Park 339","University of Maryland, Baltimore 99",George Washington University 38,Johns Hopkins University 22,University of Maryland University College 21,Georgetown University 18,University of Baltimore 17,Virginia Polytechnic Institute and State University 12,Rutgers University 11,University of Pennsylvania 11,Towson University 10,Boston University 9,Drexel University 9,New York University 9,University of Michigan 9,American University 8,Columbia University 8,Harvard University 8,University of Virginia 8,OVERALL 11,,,,,
2016,"University of Maryland, College Park 334","University of Maryland, Baltimore 93",George Washington University 30,University of Maryland University College 28,Georgetown University 27,Johns Hopkins University 25,Columbia University 17,Towson University 16,New York University 16,University of Baltimore 13,University of Pennsylvania 12,American University 11,Temple University 10,University of Virginia 9,"University of California, Berkeley 9",Cornell University 9,Rutgers University 9,Georgia Institute of Technology 8,University of Michigan 7,University of Southern California 7,,,,,
2017,"University of Maryland, College Park 370","University of Maryland, Baltimore 72",Johns Hopkins University 33,University of Maryland University College 31,George Washington University 26,Towson University 21,Georgetown University 19,American University 14,Boston University 14,Columbia University 14,University of Pennsylvania 14,Cornell University 12,University of Baltimore 12,Northwestern University 10,"University of Maryland, Baltimore County 10",University of Michigan 10,Carnegie Mellon University 9,Catholic University of America 9,George Mason University 9,Harvard University 9,New York University 9,,,,
2018,"University of Maryland, College Park 280","University of Maryland, Baltimore County 44",University of Baltimore 22,George Washington University 21,University of Maryland University College 20,Johns Hopkins University 14,University of Pennsylvania 14,Towson University 13,Columbia University 12,Georgetown University 12,New York University 12,Boston University 11,,,,,,,,,,,,,
2019,"University of Maryland, College Park 316","University of Maryland, Baltimore 36",George Washington University 30,Johns Hopkins University 29,University of Maryland University College 24,Georgetown University 18,University of Pennsylvania 17,University of Baltimore 14,University of Michigan 11,Boston University 10,University of Delaware 10,New York University 10,University of Maryland Global Campus 10,,,,,,,,,,,,
2020,C o r n e l l U n i v e r s i t y 9,U n i v e r s i t y o f B a l t i m o r e 9,U n i v e r s i t y o f P e n n s y l v a n i a 8,A m e r i c a n U n i v e r s i t y 8,R u t g e r s U n i v e r s i t y 8,S t a n f o r d U n i v e r s i t y 6,"e n g i n e e r i n g , a c c o u n t i n g , c o m p u t e r s c i e n c e , p u b l i c h e a l t h , p u b l i c p o l i c y , s o c i a l w o r k , f i n a n c e , p h y s i c a l","t h e r a p y , s p e e c h / l a n g u a g e p a t h o l o g y , e d u c a t i o n a n d f i n a n c e",T Y P E O F D E G R E E / P R O G R A M # %,M a s t e r s / M B A 5 9 3 5 9 %,P h . D . o r D o c t o r a l 1 2 6 1 2 %,"H e a l t h P r o f e s s i o n a l ( M D , D O , P h a r m . D , A u . D , e t c . ) 8 9 9 %",U n s p e c i f i e d 8 9 9 %,L a w ( J D ) 8 0 8 %,C e r t i f i c a t e / C e r t i f i c a t i o n 1 8 2 %,S e c o n d B a c h e l o r ' s D e g r e e 1 2 1 %,A s s o c i a t e ' s D e g r e e 2 0 %,"N o n d e g r e e S e e k i n g ( P o s t b a c . , c o n t . E d u . C r e d i t s ) 2 0 %",T O T A L 1 0 1 1 1 0 0 %,T O P S C H O O L S R E P O R T E D #,"U n i v e r s i t y o f M a r y l a n d , C o l l e g e P a r k ( M D ) 3 3 5","U n i v e r s i t y o f M a r y l a n d , B a l t i m o r e 3 2",G e o r g e W a s h i n g t o n U n i v e r s i t y 2 8,J o h n s H o p k i n s U n i v e r s i t y 2 5,G e o r g e t o w n U n i v e r s i t y 2 2
2021,University of Maryland College Park 488,University of Maryland Baltimore 59,George Washington University 28,University of Maryland Global Campus 26,Columbia University 18,University of Baltimore 14,Johns Hopkins University 14,George Mason University 12,Towson University 12,Georgetown University 12,New York University 12,University of Pennsylvania 11,American University 11,University of Michigan 11,Johns Hopkins University Arts sciences Engineering? 10,Northwestern University 10,University of Washington Seattle 9,University of Denver Colorado 9,Carnegie Mellon University 8,Temple University 8,Georgia Institute of Technology 8,Virginia Polytech & State University 8,University of Virginia 7,University of Pittsburgh 7,Boston University 7
2022,University of Maryland College Park 472,University of Maryland Baltimore 48,George Washington University 27,Johns Hopkins University 25,Towson University 24,Georgetown University 22,New York University 18,Boston University 17,Columbia University 14,George Mason University 11,University of Pennsylvania 9,University of Delaware 9,University of Maryland Global Campus 9,Georgia Institute of Technology 8,Howard Community College 8,University of Michigan 8,Cornell University 8,Northwestern University 8,Rutgers University 8,University of Baltimore 7,Emory University 7,University of Virginia 7,Drexel University 7,Carnegie Mellon University 7,University of Texas at Austin 7
2023,D r e x e l U n i v e r s i t y 8,R u t g e r s U n i v e r s i t y 8,B o s t o n U n i v e r s i t y 7,Y e s h i v a U n i v e r s i t y 6,C o r n e l l U n i v e r s i t y 5,S t a n f o r d U n i v e r s i t y 5,"U n i v e r s i t y o f M a r y l a n d , B a l t i m o r e 4 7",G e o r g e W a s h i n g t o n U n i v e r s i t y 3 3,J o h n s H o p k i n s U n i v e r s i t y 2 8,N e w Y o r k U n i v e r s i t y 2 3,T o w s o n U n i v e r s i t y 2 0,C o l u m b i a U n i v e r s i t y 1 8,G e o r g e t o w n U n i v e r s i t y 1 3,U n i v e r s i t y o f B a l t i m o r e 1 3,U n i v e r s i t y o f P e n n s y l v a n i a 1 1,U n i v e r s i t y o f M a r y l a n d G l o b a l C a m p u s 1 0,U n i v e r s i t y o f M a r y l a n d F r a n c i s K i n g C a r e y S c h o o l o f L a w 9,"U n i v e r s i t y o f M a r y l a n d , B a l t i m o r e C o u n t y 9",N o r t h w e s t e r n U n i v e r s i t y 9,C a t h o l i c U n i v e r s i t y o f A m e r i c a 8,N o r t h e a s t e r n U n i v e r s i t y 8,G e o r g e M a s o n U n i v e r s i t y 7,A m e r i c a n U n i v e r s i t y 6,T h o m a s J e f f e r s o n U n i v e r s i t y 6,G e o r g i a I n s t i t u t e o f T e c h n o l o g y 6
2024,T O P S C H O O L S R E P O R T E D #,"T h e m o s t p o p u l a r a r e a s o f s t u d y i n c l u d e l a w , c o m p u t e r s c i e n c e , e n g i n e e r i n g , p u b l i c h e a l t h , a c c o u n t i n g ,","p u b l i c p o l i c y , f i n a n c e , i n f o r m a t i o n s y s t e m s , b u s i n e s s a n d m a n a g e m e n t , i n t e r n a t i o n a l r e l a t i o n s ,","m e d i c i n e , a r c h i t e c t u r e , n u r s i n g , a n d p h y s i c a l t h e r a p y",T Y P E O F D E G R E E / P R O G R A M # %,M a s t e r s / M B A 6 5 7 6 2 . 7 %,P h . D . o r D o c t o r a l 1 4 4 1 3 . 7 %,"H e a l t h P r o f e s s i o n a l ( M D , D O , P h a r m . D . , A u . D , e t c . ) 8 6 8 . 2 %",U n s p e c i f i e d 7 4 7 . 1 %,L a w ( J . D . ) 6 3 6 . 0 %,C e r t i f i c a t e / C e r t i f i c a t i o n 1 2 1 . 1 %,S e c o n d B a c h e l o r ' s D e g r e e 9 0 . 9 %,"N o n D e g r e e S e e k i n g ( P o s t B a c . , c o n t . E d u . C r e d i t s ) 2 0 . 2 %",A s s o c i a t e ' s D e g r e e 1 0 . 1 %,T o t a l 1 0 4 8 1 0 0 . 0 %,"U n i v e r s i t y o f M a r y l a n d , C o l l e g e P a r k 4 4 1","U n i v e r s i t y o f M a r y l a n d , B a l t i m o r e 5 2",T o w s o n U n i v e r s i t y 2 6,J o h n s H o p k i n s U n i v e r s i t y 2 5,G e o r g e W a s h i n g t o n U n i v e r s i t y 2 2,G e o r g e t o w n U n i v e r s i t y 2 2,N e w Y o r k U n i v e r s i t y 1 9,C o l u m b i a U n i v e r s i t y 1 2,C a r n e g i e M e l l o n U n i v e r s i t y 1 1,
